Local A,Local B,Meio de transporte,Origem,Destino
A-4 - Saída 530,A-4 - Saída 532,Carro,False,Carmona
A-4 - Saída 530,A-4 - Saída 532,Carro,False,Córdoba
A-4 - Saída 530,A-4 - Saída 532,Carro,True,Aeroporto de Sevilha - San Pablo
A-4 - Saída 530,A-4 - Saída 532,Carro,True,Cádiz
A-4 - Saída 530,A-4 - Saída 532,Carro,True,Sevilha
A-4 - Saída 532,A-4 - Saída 533,Carro,False,Carmona
A-4 - Saída 532,A-4 - Saída 533,Carro,False,Córdoba
A-4 - Saída 532,A-4 - Saída 533,Carro,True,Cádiz
A-4 - Saída 532,A-4 - Saída 533,Carro,True,Sevilha
A-4 - Saída 533,Cruzamento da A-4 com a SE-20,Carro,False,Aeroporto de Sevilha - San Pablo
A-4 - Saída 533,Cruzamento da A-4 com a SE-20,Carro,False,Carmona
A-4 - Saída 533,Cruzamento da A-4 com a SE-20,Carro,False,Córdoba
A-4 - Saída 533,Cruzamento da A-4 com a SE-20,Carro,True,Cádiz
A-4 - Saída 533,Cruzamento da A-4 com a SE-20,Carro,True,Sevilha
A-4 - Saída 536,Cruzamento da A-4 Norte com a SE-30,Carro,False,Aeroporto de Sevilha - San Pablo
A-4 - Saída 536,Cruzamento da A-4 Norte com a SE-30,Carro,False,Carmona
A-4 - Saída 536,Cruzamento da A-4 Norte com a SE-30,Carro,False,Córdoba
A-4 - Saída 536,Cruzamento da A-4 Norte com a SE-30,Carro,True,Cádiz
A-4 - Saída 536,Cruzamento da A-4 Norte com a SE-30,Carro,True,Sevilha
A-4 - Saída 536,Cruzamento da A-4 com a SE-20,Carro,False,Cádiz
A-4 - Saída 536,Cruzamento da A-4 com a SE-20,Carro,False,Sevilha
A-4 - Saída 536,Cruzamento da A-4 com a SE-20,Carro,True,Aeroporto de Sevilha - San Pablo
A-4 - Saída 536,Cruzamento da A-4 com a SE-20,Carro,True,Carmona
A-4 - Saída 536,Cruzamento da A-4 com a SE-20,Carro,True,Córdoba
A-4 - Saída 553,A-4 - Saída 558,Carro,False,Sevilha
A-4 - Saída 553,A-4 - Saída 558,Carro,True,Cádiz
A-4 - Saída 553,Cruzamento da A-4 Sul com a SE-40,Carro,False,Cádiz
A-4 - Saída 553,Cruzamento da A-4 Sul com a SE-40,Carro,False,Dos Hermanas
A-4 - Saída 553,Cruzamento da A-4 Sul com a SE-40,Carro,True,Aeroporto de Sevilha - San Pablo
A-4 - Saída 553,Cruzamento da A-4 Sul com a SE-40,Carro,True,Sevilha
A-483 - Saída 1,A-483 - Saída 3,Carro,False,A-49 - Huelva/Sevilha
A-483 - Saída 1,A-483 - Saída 3,Carro,True,Almonte
A-483 - Saída 1,A-483 - Saída 3,Carro,True,El Rocio
A-483 - Saída 1,Cruzamento da A-49 com a A-483,Carro,False,Almonte
A-483 - Saída 1,Cruzamento da A-49 com a A-483,Carro,False,Parque Nacional de Doñana
A-483 - Saída 1,Cruzamento da A-49 com a A-483,Carro,True,A-49 - Huelva/Sevilha
A-49 - Saída 1,A-49 - Saída 1B,Carro,False,A-4 - Cádiz/Córdoba/Porto de Sevilha/Aeroporto de Sevilha - San Pablo
A-49 - Saída 1,A-49 - Saída 1B,Carro,False,A-66 - Mérida
A-49 - Saída 1,A-49 - Saída 1B,Carro,False,A-92 - Granada
A-49 - Saída 1,A-49 - Saída 1B,Carro,False,Camas
A-49 - Saída 1,A-49 - Saída 1B,Carro,False,Sevilha - Centro da cidade
A-49 - Saída 1,A-49 - Saída 1B,Carro,True,Huelva
A-49 - Saída 1,Cruzamento da A-49 com a SE-30,Carro,False,Camas
A-49 - Saída 1,Cruzamento da A-49 com a SE-30,Carro,False,Huelva
A-49 - Saída 1,Cruzamento da A-49 com a SE-30,Carro,True,A-4 - Cádiz/Córdoba/Porto de Sevilha/Aeroporto de Sevilha - San Pablo
A-49 - Saída 1,Cruzamento da A-49 com a SE-30,Carro,True,A-66 - Mérida
A-49 - Saída 1,Cruzamento da A-49 com a SE-30,Carro,True,A-92 - Granada
A-49 - Saída 1,Cruzamento da A-49 com a SE-30,Carro,True,Sevilha - Centro da cidade
A-49 - Saída 1B,A-49 - Saída 2,Carro,False,Sevilha
A-49 - Saída 1B,A-49 - Saída 2,Carro,True,Huelva
A-49 - Saída 1B,A-49 - Saída 2,Carro,True,Portugal
A-49 - Saída 2,A-49 - Saída 3,Carro,False,Sevilha
A-49 - Saída 2,A-49 - Saída 3,Carro,True,Huelva
A-49 - Saída 2,A-49 - Saída 3,Carro,True,Portugal
A-49 - Saída 3,A-49 - Saída 5,Carro,False,Sevilha - Centro da cidade
A-49 - Saída 3,A-49 - Saída 5,Carro,True,Huelva
A-49 - Saída 5,Cruzamento da A-49 com a SE-40,Carro,False,Sevilha - Centro da cidade
A-49 - Saída 5,Cruzamento da A-49 com a SE-40,Carro,True,Huelva
A-49 - Saída 5,Cruzamento da A-49 com a SE-40,Carro,True,Portugal
A-49 - Saída 11,A-49 - Saída 14,Carro,False,Sevilha
A-49 - Saída 11,A-49 - Saída 14,Carro,True,Huelva
A-49 - Saída 11,A-49 - Saída 14,Carro,True,Portugal
A-49 - Saída 11,Cruzamento da A-49 com a SE-40,Carro,False,Huelva
A-49 - Saída 11,Cruzamento da A-49 com a SE-40,Carro,False,Portugal
A-49 - Saída 11,Cruzamento da A-49 com a SE-40,Carro,True,Sevilha
A-49 - Saída 14,A-49 - Saída 16,Carro,False,Sevilha
A-49 - Saída 14,A-49 - Saída 16,Carro,True,Huelva
A-49 - Saída 14,A-49 - Saída 16,Carro,True,Portugal
A-49 - Saída 16,A-49 - Saída 23,Carro,False,Sevilha
A-49 - Saída 16,A-49 - Saída 23,Carro,True,Huelva
A-49 - Saída 16,A-49 - Saída 23,Carro,True,Portugal
A-49 - Saída 23,A-49 - Saída 28,Carro,False,Sevilha
A-49 - Saída 23,A-49 - Saída 28,Carro,True,Huelva
A-49 - Saída 23,A-49 - Saída 28,Carro,True,Portugal
A-49 - Saída 28,A-49 - Saída 34,Carro,False,Sevilha
A-49 - Saída 28,A-49 - Saída 34,Carro,True,Huelva
A-49 - Saída 28,A-49 - Saída 34,Carro,True,Portugal
A-49 - Saída 34,A-49 - Saída 48,Carro,False,Sevilha
A-49 - Saída 34,A-49 - Saída 48,Carro,True,Huelva
A-49 - Saída 34,A-49 - Saída 48,Carro,True,Portugal
A-49 - Saída 48,Cruzamento da A-49 com a A-483,Carro,False,Sevilha
A-49 - Saída 48,Cruzamento da A-49 com a A-483,Carro,True,Huelva
A-49 - Saída 48,Cruzamento da A-49 com a A-483,Carro,True,Portugal
A-49 - Saída 53,A-49 - Saída 60,Carro,False,Sevilha
A-49 - Saída 53,A-49 - Saída 60,Carro,True,Huelva
A-49 - Saída 53,A-49 - Saída 60,Carro,True,Portugal
A-49 - Saída 53,Cruzamento da A-49 com a A-483,Carro,False,Huelva
A-49 - Saída 53,Cruzamento da A-49 com a A-483,Carro,False,Portugal
A-49 - Saída 53,Cruzamento da A-49 com a A-483,Carro,True,Sevilha
A-49 - Saída 60,A-49 - Saída 75,Carro,False,Sevilha
A-49 - Saída 60,A-49 - Saída 75,Carro,True,Huelva
A-49 - Saída 60,A-49 - Saída 75,Carro,True,Portugal
A-49 - Saída 75,Cruzamento da A-49 com a H-31,Carro,False,Sevilha
A-49 - Saída 75,Cruzamento da A-49 com a H-31,Carro,True,Huelva
A-49 - Saída 75,Cruzamento da A-49 com a H-31,Carro,True,Portugal
A-49 - Saída 81,A-49 - Saída 87,Carro,False,Sevilha
A-49 - Saída 81,A-49 - Saída 87,Carro,True,Gibraleón
A-49 - Saída 81,A-49 - Saída 87,Carro,True,Portugal
A-49 - Saída 81,Cruzamento da A-49 com a H-31,Carro,False,Portugal
A-49 - Saída 81,Cruzamento da A-49 com a H-31,Carro,True,Sevilha
A-49 - Saída 87,A-49 - Saída 94,Carro,False,Gibraleón
A-49 - Saída 87,A-49 - Saída 94,Carro,False,Huelva
A-49 - Saída 87,A-49 - Saída 94,Carro,True,Cartaya
A-49 - Saída 87,A-49 - Saída 94,Carro,True,Portugal
A-49 - Saída 94,A-49 - Saída 99,Carro,False,Huelva Norte
A-49 - Saída 94,A-49 - Saída 99,Carro,False,Sevilha
A-49 - Saída 94,A-49 - Saída 99,Carro,True,Cartaya
A-49 - Saída 94,A-49 - Saída 99,Carro,True,Portugal
A-49 - Saída 99,A-49 - Saída 105,Carro,False,Gibraleón
A-49 - Saída 99,A-49 - Saída 105,Carro,False,Huelva
A-49 - Saída 99,A-49 - Saída 105,Carro,True,Cartaya
A-49 - Saída 99,A-49 - Saída 105,Carro,True,Portugal
A-49 - Saída 105,A-49 - Saída 113,Carro,False,Cartaya
A-49 - Saída 105,A-49 - Saída 113,Carro,False,Huelva
A-49 - Saída 105,A-49 - Saída 113,Carro,True,Lepe
A-49 - Saída 105,A-49 - Saída 113,Carro,True,Portugal
A-49 - Saída 113,A-49 - Saída 117,Carro,False,Huelva
A-49 - Saída 113,A-49 - Saída 117,Carro,False,Lepe
